"Year","CITATION","SAMPLE NAME","UNIQUE_ID","LOCATION","ROCK TYPE","AGE (MIN.)","AGE (MAX.)","SIO2(WT%)","TIO2(WT%)","AL2O3(WT%)","FEO(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)",
"2008"," [12764] HOFMANN AXEL (2008)","samp. H24","","KAAPVAAL CRATON_ARCHEAN / BARBERTON GREENSTONE BELT / ONVERWACHT GROUP / BUCK REEF CHERT","SEDIMENTARY ROCK","3300000000","3500000000","98.17","0.03","0.45","","0.02","0","0.01","0.14","0.01","0.03",
"2008"," [12764] HOFMANN AXEL (2008)","samp. H21","","KAAPVAAL CRATON_ARCHEAN / BARBERTON GREENSTONE BELT / ONVERWACHT GROUP / BUCK REEF CHERT","SEDIMENTARY ROCK","3300000000","3500000000","96.8","0.05","0.91","","0.01","0.01","0.01","0.44","0","0",
"2008"," [12764] HOFMANN AXEL (2008)","samp. H22","","KAAPVAAL CRATON_ARCHEAN / BARBERTON GREENSTONE BELT / ONVERWACHT GROUP / BUCK REEF CHERT","SEDIMENTARY ROCK","3300000000","3500000000","97.32","0.04","0.53","","0.02","0.05","0.02","0.3","0","0",
"2008"," [12764] HOFMANN AXEL (2008)","samp. O8","","KAAPVAAL CRATON_ARCHEAN / BARBERTON GREENSTONE BELT / ONVERWACHT GROUP / KROMBERG FORMATION","SEDIMENTARY ROCK","3300000000","3500000000","98.08","0.03","0.42","","0.02","0","0.01","0.13","0","0.03",
"2008"," [12764] HOFMANN AXEL (2008)","samp. O9","","KAAPVAAL CRATON_ARCHEAN / BARBERTON GREENSTONE BELT / ONVERWACHT GROUP / KROMBERG FORMATION","SEDIMENTARY ROCK","3300000000","3500000000","96.3","0.38","1.14","","0.04","0","0.01","0.28","0","0.04",
"2017"," [20905] FARBER K. (2017)","samp. M03","","KAAPVAAL CRATON_ARCHEAN / BARBERTON GREENSTONE BELT / ONVERWACHT GROUP / MENDON FORMATION","SEDIMENTARY ROCK","","","98.92","0.01","0.02","","0.07","0.02","0.01","0.02","0.23","0.03",
"2017"," [20905] FARBER K. (2017)","samp. M04","","KAAPVAAL CRATON_ARCHEAN / BARBERTON GREENSTONE BELT / ONVERWACHT GROUP / MENDON FORMATION","SEDIMENTARY ROCK","","","98.27","0.05","0.02","","0.13","0.02","0.01","0.19","0.3","0.03",

Download from GEOROC - Geochemical Database
Date of Query: Monday, November 17, 2025
Please note: There is a List of your Query Criteria at the End of this Sheet.


References:
"[5626] VILJOEN M. J., VILJOEN R. P.:   THE GEOLOGY AND GEOCHEMISTRY OF THE LOWER ULTRAMAFIC UNIT OF THE ONVERWACHT GROUP AND A PROPOSED NEW CLASS OF IGNEOUS ROCKS |  SPEC. PUBL. GEOL. SOC. S. AFR. 2    [1969]  55-85 "
"[11105] CROW C., CONDIE K. C.:   GEOCHEMISTRY AND ORIGIN OF LATE ARCHEAN VOLCANIC ROCKS FROM THE RHENOSTERHOEK FORMATION, DOMINION GROUP, SOUTH AFRICA |  PREC. RESEARCH 37    [1987]  217-229  | doi: 10.1016/0301-9268(87)90068-4"
"[12604] ROUCHON V., ORBERGER B.:   ORIGIN AND MECHANISMS OF K-SI-METASOMATISM OF CA. 3.4-3.3 GA VOLCANICLASTIC DEPOSITS AND IMPLICATIONS FOR ARCHEAN SEAWATER EVOLUTION: EXAMPLES FROM CHERTS OF KITTYS GAP (PILBARA CRATON, AUSTRALIA) AND MSAULI (BARBERTON GREENSTONE BELT, SOUTH AFRICA) |  PREC. RESEARCH 165    [2008]  169-189  | doi: 10.1016/j.precamres.2008.06.003"
"[12764] HOFMANN AXEL, HARRIS C.:   SILICA ALTERATION ZONES IN THE BARBERTON GREENSTONE BELT: A WINDOW INTO SUBSEAFLOOR PROCESSES 3.5 - 3.3 GA AGO |  CHEM. GEOL. 257    [2008]  221-239  | doi: 10.1016/j.chemgeo.2008.09.015"
"[20905] FARBER K., DZIGGEL A., MEYER F. M., HARRIS C.:   PETROLOGY, GEOCHEMISTRY AND FLUID INCLUSION ANALYSIS OF ALTERED KOMATIITES OF THE MENDON FORMATION IN THE BARB4 DRILL CORE, BARBERTON GREENSTONE BELT, SOUTH AFRICA |  S. AFR. J. GEOL. 119    [2017]  639-654  | doi: 10.2113/gssajg.119.4.639"

Criteria:
QUERY - BY - GEOLOGICAL - SETTING: - ARCHEAN - CRATONS - (INCLUDING - GREENSTONE - BELTS) - - - KAAPVAAL - CRATON_ARCHEAN - - - NO - FURTHER - CONSTRAINTS - - - SAMPLE - CRITERIA - (COMBINED - WITH - AND): - - - ROCK - TYPE: - SEDIMENTARY - ROCK - - - ITEMS: - AL2O3,CAO,FEO,K2O,MGO,MNO,NA2O,P2O5,SIO2,TIO2 - (WITHOUT - ANALYTICAL - DATA) - - - METADATA: - LOCATION, - ROCK_TYPE, - AGE_MIN, - AGE_MAX - 
