AGE (MIN.),AGE (MAX.),P2O5 (wt%) Isua,Isua Median Age
3810000000.0,3720000000.0,42.277,3765000000.0
3810000000.0,3720000000.0,42.954,3765000000.0
3810000000.0,3720000000.0,42.932,3765000000.0
3810000000.0,3720000000.0,42.255,3765000000.0
3810000000.0,3720000000.0,41.539,3765000000.0
3810000000.0,3720000000.0,42.744,3765000000.0
3810000000.0,3720000000.0,41.919,3765000000.0
3810000000.0,3720000000.0,42.087,3765000000.0
3810000000.0,3720000000.0,41.678,3765000000.0
3810000000.0,3720000000.0,41.921,3765000000.0
3810000000.0,3720000000.0,42.077,3765000000.0
3810000000.0,3720000000.0,41.704,3765000000.0
3810000000.0,3720000000.0,41.347,3765000000.0
3810000000.0,3720000000.0,40.771,3765000000.0
3810000000.0,3720000000.0,41.367,3765000000.0
