"Year","CITATION","SAMPLE NAME","UNIQUE_ID","LOCATION","ROCK TYPE","AGE (MIN.)","AGE (MAX.)","SIO2(WT%)","TIO2(WT%)","AL2O3(WT%)","FE2O3(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","K2O(WT%)","P2O5(WT%)",
"2004 "," [8690] YAMAMOTO KOSHI(2004)  [GeoReM [1523] ]","samp. 9","","WEST AUSTRALIAN CRATON / PILBARA CRATON / PILBARA SUPERGROUP / WARRAWOONA GROUP - SALGASH SUBGROUP/EURO BASALT FO","SEDIMENTARY ROCK","","","4.63","0.002","0.07","4.63","28.46","13.66","1.39","0.012","0.025",
"2004 "," [8690] YAMAMOTO KOSHI(2004)  [GeoReM [1523] ]","samp. 10","","WEST AUSTRALIAN CRATON / PILBARA CRATON / PILBARA SUPERGROUP / WARRAWOONA GROUP - SALGASH SUBGROUP/EURO BASALT FO","SEDIMENTARY ROCK","","","5.23","0.001","0.016","4.95","29.06","14.91","1.38","0","0.017",
"2004 "," [8690] YAMAMOTO KOSHI(2004)  [GeoReM [1523] ]","samp. 11","","WEST AUSTRALIAN CRATON / PILBARA CRATON / PILBARA SUPERGROUP / WARRAWOONA GROUP - SALGASH SUBGROUP/EURO BASALT FO","SEDIMENTARY ROCK","","","3.16","0.002","0.095","5.4","29.57","14.78","1.37","0.01","0.016",
"2008"," [12604] ROUCHON V. (2008)","samp. MICA1","","WEST AUSTRALIAN CRATON / PILBARA CRATON / PILBARA SUPERGROUP / WARRAWOONA GROUP - KITTYS GAP CHERT","SEDIMENTARY ROCK","3300000000","3400000000","45.82","0.15","34.34","","0.06","0.3","0.01","9.44","",
"2008"," [12604] ROUCHON V. (2008)","samp. MICA2","","WEST AUSTRALIAN CRATON / PILBARA CRATON / PILBARA SUPERGROUP / WARRAWOONA GROUP - KITTYS GAP CHERT","SEDIMENTARY ROCK","3300000000","3400000000","46.02","0.17","35.27","","0.04","0.63","0","9.85","",
"2008"," [12604] ROUCHON V. (2008)","samp. MICA3","","WEST AUSTRALIAN CRATON / PILBARA CRATON / PILBARA SUPERGROUP / WARRAWOONA GROUP - KITTYS GAP CHERT","SEDIMENTARY ROCK","3300000000","3400000000","44.61","0.4","34.2","","0.07","0.67","0.06","9.94","",
"2008"," [12604] ROUCHON V. (2008)","samp. KG0","","WEST AUSTRALIAN CRATON / PILBARA CRATON / PILBARA SUPERGROUP / WARRAWOONA GROUP - KITTYS GAP CHERT","SEDIMENTARY ROCK","3300000000","3400000000","94.53","0.2","3.89","","0","0","0","1.13","0",
"2008"," [12604] ROUCHON V. (2008)","samp. KG1","","WEST AUSTRALIAN CRATON / PILBARA CRATON / PILBARA SUPERGROUP / WARRAWOONA GROUP - KITTYS GAP CHERT","SEDIMENTARY ROCK","3300000000","3400000000","94.62","0.19","3.81","","0","0","0","1.12","0",
"2008"," [12604] ROUCHON V. (2008)","samp. KG2-3","","WEST AUSTRALIAN CRATON / PILBARA CRATON / PILBARA SUPERGROUP / WARRAWOONA GROUP - KITTYS GAP CHERT","SEDIMENTARY ROCK","3300000000","3400000000","94","0.22","4.26","","0","0","0","1.23","0.03",
"2008"," [12604] ROUCHON V. (2008)","samp. KG4","","WEST AUSTRALIAN CRATON / PILBARA CRATON / PILBARA SUPERGROUP / WARRAWOONA GROUP - KITTYS GAP CHERT","SEDIMENTARY ROCK","3300000000","3400000000","99.23","0","0.4","","0","0","0","0.13","0",
