"Year","CITATION","SAMPLE NAME","UNIQUE_ID","LOCATION","ROCK TYPE","AGE (MIN.)","AGE (MAX.)","SIO2(WT%)","TIO2(WT%)","AL2O3(WT%)","FE2O3(WT%)","FEO(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","K2O(WT%)","P2O5(WT%)",
"2000"," [8017] KOEBERL C. (2000)","samp. 460528","","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / CENTRAL ISUA TECTONIC DOMAIN (GARBENSCHIEFER) / PELAGIC SHALE SEQUENCE","SEDIMENTARY ROCK","","","59.59","0.58","15.74","","","4.14","4.36","0.2","3.41","0.1",
"2000"," [8017] KOEBERL C. (2000)","samp. 460534","","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / CENTRAL ISUA TECTONIC DOMAIN (GARBENSCHIEFER) / PELAGIC SHALE SEQUENCE","SEDIMENTARY ROCK","","","65.47","0.5","16.23","","","2.23","1.63","0.1","1.48","0.1",
"1984"," [9064] NUTMAN A. P. (1984)","samp. 167642","","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / WESTERN ISUA TECTONIC DOMAIN / A4 UPPER BANDED IRON FORMATION","SEDIMENTARY ROCK","3800000000","3800000000","45.76","0.02","0.1","35.46","15.71","1.11","2.11","0.09","","0.03",
"1984"," [9064] NUTMAN A. P. (1984)","samp. 175506","","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / WESTERN ISUA TECTONIC DOMAIN / A4 UPPER BANDED IRON FORMATION","SEDIMENTARY ROCK","3800000000","3800000000","73.11","0.19","8.56","0.07","0.51","0.07","11.98","0.03","0.13","0.02",
"1984"," [9064] NUTMAN A. P. (1984)","samp. 225928","","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / ISUA AMPHIBOLITE UNIT","SEDIMENTARY ROCK","3800000000","3800000000","72.47","","0.24","11.22","11.22","2.38","1.59","0.28","0.01","0.02",
"2018"," [22156] WUDARSKA A. (2018)","samp. AL10–1","","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / EASTERN ISUA TECTONIC DOMAIN","SEDIMENTARY ROCK","","","0.237","","","","","55.576","","","","41.086",
"2018"," [22156] WUDARSKA A. (2018)","samp. AL10–1","","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / EASTERN ISUA TECTONIC DOMAIN","SEDIMENTARY ROCK","","","0.091","","","","","55.216","","","","41.064",
"2018"," [22156] WUDARSKA A. (2018)","samp. AL10–1","","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / EASTERN ISUA TECTONIC DOMAIN","SEDIMENTARY ROCK","","","0.218","","","","","54.321","","","","40.54",
"2018"," [22156] WUDARSKA A. (2018)","samp. AL10–1","","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / EASTERN ISUA TECTONIC DOMAIN","SEDIMENTARY ROCK","","","0.276","","","","","54.277","","","","41.324",
"2018"," [22156] WUDARSKA A. (2018)","samp. AL10–1","","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / EASTERN ISUA TECTONIC DOMAIN","SEDIMENTARY ROCK","","","0.139","","","","","54.354","","","","40.941",
"2018"," [22156] WUDARSKA A. (2018)","samp. AL10–1","","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / EASTERN ISUA TECTONIC DOMAIN","SEDIMENTARY ROCK","","","0.334","","","","","54.069","","","","40.566",
"2018"," [22156] WUDARSKA A. (2018)","samp. AL10–1","","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / EASTERN ISUA TECTONIC DOMAIN","SEDIMENTARY ROCK","","","0.139","","","","","55.429","","","","41.541",
"2018"," [22156] WUDARSKA A. (2018)","samp. AL10–1","","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / EASTERN ISUA TECTONIC DOMAIN","SEDIMENTARY ROCK","","","0.253","","","","","54.287","","","","42.185",
